product_id,product_name,category_depth1_id,category_depth1_name,category_depth2_id,category_depth2_name,brand_id,brand_name,original_price,discount_amount,discounted_price,img_url
P00001,슬림핏 캐시미어 버튼업 롤탑 백팩 (오프화이트),C006,가방/잡화,C00601,백팩,B001,Martinee Basics,63600,28000,35600,https://picsum.photos/seed/P00001/600/800
P00002,오프화이트 린넨 집업 블라우스 (그레이),C001,상의,C00105,블라우스,B014,Puffer Planet,274900,132000,142900,https://picsum.photos/seed/P00002/600/800
P00003,슬림핏 레더 하이웨이스트 랩 블라우스 (베이지),C001,상의,C00105,블라우스,B007,Daily Grove,13300,2700,10600,https://picsum.photos/seed/P00003/600/800
P00004,오버핏 캐시미어 테이퍼드 비니 (오프화이트),C006,가방/잡화,C00604,모자,B011,Linen Lab,58500,19900,38600,https://picsum.photos/seed/P00004/600/800
P00005,라이트 코튼 퀼팅 가디건 니트 (오프화이트),C001,상의,C00103,니트/스웨터,B012,Denim District,291000,49500,241500,https://picsum.photos/seed/P00005/600/800
P00006,헤비웨이트 플리스 하이웨이스트 랩 원피스 (카키),C004,원피스,C00401,미니 원피스,B018,Minimal Move,312600,68800,243800,https://picsum.photos/seed/P00006/600/800
P00007,라이트 데님 브이넥 미니 백팩 (그레이),C006,가방/잡화,C00601,백팩,B002,Seoul Atelier,62900,21400,41500,https://picsum.photos/seed/P00007/600/800
P00008,빈티지 나일론 집업 점퍼 (라이트블루),C003,아우터,C00304,점퍼/바람막이,B012,Denim District,149900,21000,128900,https://picsum.photos/seed/P00008/600/800
P00009,오버핏 레더 와이드 페니 로퍼 (베이지),C005,신발,C00502,로퍼,B018,Minimal Move,345400,155400,190000,https://picsum.photos/seed/P00009/600/800
P00010,헤비웨이트 코튼 테이퍼드 와이드 슬랙스 (브라운),C002,하의,C00203,슬랙스,B002,Seoul Atelier,150300,21000,129300,https://picsum.photos/seed/P00010/600/800
P00011,소프트 레더 와이드 플리츠 스커트 (라이트블루),C002,하의,C00205,스커트,B011,Linen Lab,250500,47600,202900,https://picsum.photos/seed/P00011/600/800
P00012,워셔블 트위드 와이드 경량 패딩 (버건디),C003,아우터,C00302,패딩/다운,B008,Mono Archive,219300,72400,146900,https://picsum.photos/seed/P00012/600/800
P00013,미니멀 코튼 브이넥 테이퍼드 팬츠 (네이비),C002,하의,C00202,면바지/치노,B017,Baghaus,338900,67800,271100,https://picsum.photos/seed/P00013/600/800
P00014,클래식 폴리 하이웨이스트 캡 (오프화이트),C006,가방/잡화,C00604,모자,B020,Bloom & Wear,287300,74700,212600,https://picsum.photos/seed/P00014/600/800
P00015,라이트 플리스 테이퍼드 하이탑 (오프화이트),C005,신발,C00501,스니커즈,B004,Cloud Nine,163800,60600,103200,https://picsum.photos/seed/P00015/600/800
P00016,에센셜 울 롱 나일론 쇼츠 (오프화이트),C002,하의,C00204,반바지,B001,Martinee Basics,337700,97900,239800,https://picsum.photos/seed/P00016/600/800
P00017,오버핏 나일론 버튼업 카드지갑 (오프화이트),C006,가방/잡화,C00605,지갑,B020,Bloom & Wear,288000,28800,259200,https://picsum.photos/seed/P00017/600/800
P00018,미니멀 나일론 드로스트링 첼시 부츠 (그레이),C005,신발,C00503,부츠,B016,Leather Route,40300,10100,30200,https://picsum.photos/seed/P00018/600/800
P00019,헤비웨이트 린넨 롱 코트 스니커즈 (네이비),C005,신발,C00501,스니커즈,B003,Urban Nomad,77200,30900,46300,https://picsum.photos/seed/P00019/600/800
P00020,슬림핏 스웨이드 퀼팅 청키 로퍼 (오프화이트),C005,신발,C00502,로퍼,B009,Weekend Society,115400,33500,81900,https://picsum.photos/seed/P00020/600/800
P00021,미니멀 캐시미어 집업 니트 롱 원피스 (오프화이트),C004,원피스,C00403,맥시 원피스,B015,Sneaker Works,187200,20600,166600,https://picsum.photos/seed/P00021/600/800
P00022,오프화이트 린넨 퀼팅 트레이닝 슈즈 (라이트블루),C005,신발,C00505,러닝화,B008,Mono Archive,40800,9800,31000,https://picsum.photos/seed/P00022/600/800
P00023,에센셜 캐시미어 드로스트링 티셔츠 (라이트블루),C001,상의,C00101,티셔츠,B011,Linen Lab,264400,60800,203600,https://picsum.photos/seed/P00023/600/800
P00024,슬림핏 레더 와이드 청키 로퍼 (그레이),C005,신발,C00502,로퍼,B019,Classic Yard,59400,9500,49900,https://picsum.photos/seed/P00024/600/800
P00025,클래식 레더 퀼팅 볼캡 (블랙),C006,가방/잡화,C00604,모자,B012,Denim District,362900,58100,304800,https://picsum.photos/seed/P00025/600/800
P00026,슬림핏 캐시미어 집업 후드 (오프화이트),C001,상의,C00104,후드/스웨트,B011,Linen Lab,245100,44100,201000,https://picsum.photos/seed/P00026/600/800
P00027,슬림핏 린넨 크롭 슬립 원피스 (오프화이트),C004,원피스,C00402,미디 원피스,B009,Weekend Society,61200,8000,53200,https://picsum.photos/seed/P00027/600/800
P00028,스트레치 캐시미어 버튼업 지갑 (브라운),C006,가방/잡화,C00605,지갑,B001,Martinee Basics,264500,105800,158700,https://picsum.photos/seed/P00028/600/800
P00029,클래식 코튼 와이드 데님 쇼츠 (베이지),C002,하의,C00204,반바지,B002,Seoul Atelier,248500,69600,178900,https://picsum.photos/seed/P00029/600/800
P00030,슬림핏 데님 집업 터틀넥 원피스 (블랙),C004,원피스,C00405,니트 원피스,B016,Leather Route,313600,138000,175600,https://picsum.photos/seed/P00030/600/800
P00031,쿨터치 레더 롱 니트 (오프화이트),C001,상의,C00103,니트/스웨터,B002,Seoul Atelier,92400,12000,80400,https://picsum.photos/seed/P00031/600/800
P00032,쿨터치 린넨 플리츠 스니커즈 (그레이),C005,신발,C00501,스니커즈,B006,Midnight Tailor,221600,37700,183900,https://picsum.photos/seed/P00032/600/800
P00033,쿨터치 린넨 와이드 로퍼 (라이트블루),C005,신발,C00502,로퍼,B019,Classic Yard,315900,145300,170600,https://picsum.photos/seed/P00033/600/800
P00034,소프트 메리노울 테이퍼드 워커 (그레이),C005,신발,C00503,부츠,B009,Weekend Society,149200,52200,97000,https://picsum.photos/seed/P00034/600/800
P00035,스트레치 린넨 라운드넥 테이퍼드 슬랙스 (오프화이트),C002,하의,C00203,슬랙스,B015,Sneaker Works,335600,154400,181200,https://picsum.photos/seed/P00035/600/800
P00036,에센셜 데님 버튼업 롱슬리브 (카키),C001,상의,C00101,티셔츠,B018,Minimal Move,46000,11500,34500,https://picsum.photos/seed/P00036/600/800
P00037,헤비웨이트 스웨이드 퀼팅 데님 자켓 (베이지),C003,아우터,C00303,자켓/블레이저,B006,Midnight Tailor,330600,142200,188400,https://picsum.photos/seed/P00037/600/800
P00038,스트레치 울 드로스트링 블라우스 (오프화이트),C001,상의,C00105,블라우스,B010,Neon Classic,66000,29700,36300,https://picsum.photos/seed/P00038/600/800
P00039,워셔블 나일론 집업 와이드 슬랙스 (라이트블루),C002,하의,C00203,슬랙스,B010,Neon Classic,342400,89000,253400,https://picsum.photos/seed/P00039/600/800
P00040,미니멀 플리스 와이드 샌들 (베이지),C005,신발,C00504,샌들/슬리퍼,B009,Weekend Society,33000,3300,29700,https://picsum.photos/seed/P00040/600/800
P00041,워셔블 레더 롱 롱패딩 (오프화이트),C003,아우터,C00302,패딩/다운,B009,Weekend Society,234100,105300,128800,https://picsum.photos/seed/P00041/600/800
P00042,에센셜 코튼 테이퍼드 롱슬리브 (버건디),C001,상의,C00101,티셔츠,B003,Urban Nomad,299600,56900,242700,https://picsum.photos/seed/P00042/600/800
P00043,빈티지 코튼 테이퍼드 플리츠 원피스 (그레이),C004,원피스,C00402,미디 원피스,B002,Seoul Atelier,367500,91900,275600,https://picsum.photos/seed/P00043/600/800
P00044,쿨터치 메리노울 버튼업 테크 백팩 (그레이),C006,가방/잡화,C00601,백팩,B012,Denim District,95100,20000,75100,https://picsum.photos/seed/P00044/600/800
P00045,라이트 폴리 플리츠 랩 원피스 (오프화이트),C004,원피스,C00401,미니 원피스,B006,Midnight Tailor,140000,37800,102200,https://picsum.photos/seed/P00045/600/800
P00046,헤비웨이트 레더 집업 데님 팬츠 (그레이),C002,하의,C00201,청바지,B013,Coat & Co.,251200,80400,170800,https://picsum.photos/seed/P00046/600/800
P00047,소프트 캐시미어 와이드 다운 자켓 (카키),C003,아우터,C00302,패딩/다운,B008,Mono Archive,156000,21800,134200,https://picsum.photos/seed/P00047/600/800
P00048,소프트 스웨이드 테이퍼드 데님 자켓 (블랙),C003,아우터,C00303,자켓/블레이저,B017,Baghaus,70400,18300,52100,https://picsum.photos/seed/P00048/600/800
P00049,미니멀 트위드 와이드 미디 스커트 (카키),C002,하의,C00205,스커트,B009,Weekend Society,391900,117600,274300,https://picsum.photos/seed/P00049/600/800
P00050,클래식 트위드 집업 니트 원피스 (베이지),C004,원피스,C00405,니트 원피스,B017,Baghaus,33200,12300,20900,https://picsum.photos/seed/P00050/600/800
P00051,빈티지 폴리 브이넥 퍼프 블라우스 (라이트블루),C001,상의,C00105,블라우스,B018,Minimal Move,183000,89700,93300,https://picsum.photos/seed/P00051/600/800
P00052,소프트 폴리 테이퍼드 싱글 코트 (브라운),C003,아우터,C00301,코트,B010,Neon Classic,375400,105100,270300,https://picsum.photos/seed/P00052/600/800
P00053,소프트 폴리 플리츠 청키 로퍼 (오프화이트),C005,신발,C00502,로퍼,B007,Daily Grove,101100,49500,51600,https://picsum.photos/seed/P00053/600/800
P00054,레귤러 데님 집업 첼시 부츠 (브라운),C005,신발,C00503,부츠,B013,Coat & Co.,314000,150700,163300,https://picsum.photos/seed/P00054/600/800
P00055,프리미엄 플리스 집업 미니 토트 (오프화이트),C006,가방/잡화,C00603,토트백,B015,Sneaker Works,258000,51600,206400,https://picsum.photos/seed/P00055/600/800
P00056,미니멀 캐시미어 플리츠 롤탑 백팩 (베이지),C006,가방/잡화,C00601,백팩,B010,Neon Classic,127700,28100,99600,https://picsum.photos/seed/P00056/600/800
P00057,프리미엄 트위드 브이넥 스트레이트 진 (오프화이트),C002,하의,C00201,청바지,B002,Seoul Atelier,227200,113600,113600,https://picsum.photos/seed/P00057/600/800
P00058,클래식 캐시미어 버튼업 청키 로퍼 (라이트블루),C005,신발,C00502,로퍼,B013,Coat & Co.,65800,24300,41500,https://picsum.photos/seed/P00058/600/800
P00059,오프화이트 스웨이드 집업 테이퍼드 팬츠 (오프화이트),C002,하의,C00202,면바지/치노,B017,Baghaus,249200,44900,204300,https://picsum.photos/seed/P00059/600/800
P00060,라이트 레더 하이웨이스트 립 니트 원피스 (오프화이트),C004,원피스,C00405,니트 원피스,B018,Minimal Move,274500,101600,172900,https://picsum.photos/seed/P00060/600/800
P00061,프리미엄 데님 집업 플랫폼 샌들 (라이트블루),C005,신발,C00504,샌들/슬리퍼,B006,Midnight Tailor,155300,66800,88500,https://picsum.photos/seed/P00061/600/800
P00062,미니멀 메리노울 드로스트링 슬립 원피스 (그레이),C004,원피스,C00402,미디 원피스,B009,Weekend Society,152400,47200,105200,https://picsum.photos/seed/P00062/600/800
P00063,오버핏 캐시미어 와이드 니트 가디건 (오프화이트),C003,아우터,C00305,가디건,B003,Urban Nomad,90000,20700,69300,https://picsum.photos/seed/P00063/600/800
P00064,에센셜 레더 와이드 집업 후디 (블랙),C001,상의,C00104,후드/스웨트,B014,Puffer Planet,118300,42600,75700,https://picsum.photos/seed/P00064/600/800
P00065,프리미엄 코튼 테이퍼드 가디건 원피스 (베이지),C004,원피스,C00405,니트 원피스,B001,Martinee Basics,214400,77200,137200,https://picsum.photos/seed/P00065/600/800
P00066,프리미엄 캐시미어 드로스트링 트레이닝 슈즈 (브라운),C005,신발,C00505,러닝화,B020,Bloom & Wear,264500,29100,235400,https://picsum.photos/seed/P00066/600/800
P00067,헤비웨이트 레더 버튼업 롱 원피스 (버건디),C004,원피스,C00403,맥시 원피스,B013,Coat & Co.,289900,31900,258000,https://picsum.photos/seed/P00067/600/800
P00068,미니멀 플리스 와이드 니트 원피스 (네이비),C004,원피스,C00405,니트 원피스,B019,Classic Yard,252000,52900,199100,https://picsum.photos/seed/P00068/600/800
P00069,슬림핏 레더 테이퍼드 가디건 니트 (카키),C001,상의,C00103,니트/스웨터,B013,Coat & Co.,208700,56300,152400,https://picsum.photos/seed/P00069/600/800
P00070,오프화이트 메리노울 롱 니트 롱 원피스 (블랙),C004,원피스,C00403,맥시 원피스,B003,Urban Nomad,193400,46400,147000,https://picsum.photos/seed/P00070/600/800
P00071,슬림핏 캐시미어 라운드넥 백팩 (버건디),C006,가방/잡화,C00601,백팩,B002,Seoul Atelier,89800,22400,67400,https://picsum.photos/seed/P00071/600/800
P00072,프리미엄 메리노울 드로스트링 데님 쇼츠 (카키),C002,하의,C00204,반바지,B004,Cloud Nine,97900,47000,50900,https://picsum.photos/seed/P00072/600/800
P00073,미니멀 트위드 라운드넥 하이탑 (베이지),C005,신발,C00501,스니커즈,B006,Midnight Tailor,311800,106000,205800,https://picsum.photos/seed/P00073/600/800
P00074,미니멀 메리노울 드로스트링 셔츠 원피스 (라이트블루),C004,원피스,C00402,미디 원피스,B003,Urban Nomad,324700,55200,269500,https://picsum.photos/seed/P00074/600/800
P00075,소프트 나일론 브이넥 코트 스니커즈 (오프화이트),C005,신발,C00501,스니커즈,B012,Denim District,349400,108300,241100,https://picsum.photos/seed/P00075/600/800
P00076,클래식 나일론 플리츠 후드 (오프화이트),C001,상의,C00104,후드/스웨트,B016,Leather Route,380700,72300,308400,https://picsum.photos/seed/P00076/600/800
P00077,쿨터치 스웨이드 크롭 플리츠 원피스 (오프화이트),C004,원피스,C00402,미디 원피스,B017,Baghaus,238300,112000,126300,https://picsum.photos/seed/P00077/600/800
P00078,레귤러 레더 집업 블레이저 (오프화이트),C003,아우터,C00303,자켓/블레이저,B008,Mono Archive,308700,151300,157400,https://picsum.photos/seed/P00078/600/800
P00079,프리미엄 나일론 버튼업 캡 (오프화이트),C006,가방/잡화,C00604,모자,B011,Linen Lab,121100,38800,82300,https://picsum.photos/seed/P00079/600/800
P00080,에센셜 코튼 롱 트위드 자켓 (그레이),C003,아우터,C00303,자켓/블레이저,B009,Weekend Society,54800,13700,41100,https://picsum.photos/seed/P00080/600/800
P00081,워셔블 레더 플리츠 버킷햇 (오프화이트),C006,가방/잡화,C00604,모자,B016,Leather Route,267200,101500,165700,https://picsum.photos/seed/P00081/600/800
P00082,클래식 메리노울 집업 롱슬리브 (베이지),C001,상의,C00101,티셔츠,B010,Neon Classic,358000,168300,189700,https://picsum.photos/seed/P00082/600/800
P00083,클래식 메리노울 롱 MA-1 (카키),C003,아우터,C00304,점퍼/바람막이,B018,Minimal Move,194400,75800,118600,https://picsum.photos/seed/P00083/600/800
P00084,미니멀 메리노울 집업 테일러드 자켓 (카키),C003,아우터,C00303,자켓/블레이저,B009,Weekend Society,72600,31900,40700,https://picsum.photos/seed/P00084/600/800
P00085,워셔블 레더 드로스트링 미니 크로스백 (오프화이트),C006,가방/잡화,C00602,크로스백,B007,Daily Grove,319000,137200,181800,https://picsum.photos/seed/P00085/600/800
P00086,레귤러 캐시미어 테이퍼드 워커 (네이비),C005,신발,C00503,부츠,B004,Cloud Nine,168400,16800,151600,https://picsum.photos/seed/P00086/600/800
P00087,오프화이트 코튼 롱 반지갑 (베이지),C006,가방/잡화,C00605,지갑,B005,Han River Studio,375500,67600,307900,https://picsum.photos/seed/P00087/600/800
P00088,쿨터치 데님 크롭 캡 (오프화이트),C006,가방/잡화,C00604,모자,B004,Cloud Nine,240800,74600,166200,https://picsum.photos/seed/P00088/600/800
P00089,미니멀 린넨 와이드 크롭 진 (오프화이트),C002,하의,C00201,청바지,B009,Weekend Society,48700,22400,26300,https://picsum.photos/seed/P00089/600/800
P00090,라이트 트위드 드로스트링 미니 백팩 (오프화이트),C006,가방/잡화,C00601,백팩,B005,Han River Studio,140000,23800,116200,https://picsum.photos/seed/P00090/600/800
P00091,라이트 스웨이드 와이드 슬리퍼 (오프화이트),C005,신발,C00504,샌들/슬리퍼,B020,Bloom & Wear,242000,70200,171800,https://picsum.photos/seed/P00091/600/800
P00092,쿨터치 메리노울 브이넥 샌들 (그레이),C005,신발,C00504,샌들/슬리퍼,B010,Neon Classic,337800,77700,260100,https://picsum.photos/seed/P00092/600/800
P00093,오버핏 스웨이드 브이넥 트렌치 코트 (네이비),C003,아우터,C00301,코트,B006,Midnight Tailor,11300,4100,7200,https://picsum.photos/seed/P00093/600/800
P00094,오프화이트 캐시미어 드로스트링 립 니트 원피스 (오프화이트),C004,원피스,C00405,니트 원피스,B016,Leather Route,158100,61700,96400,https://picsum.photos/seed/P00094/600/800
P00095,클래식 린넨 롱 옥스포드 셔츠 (그레이),C001,상의,C00102,셔츠,B009,Weekend Society,349400,66400,283000,https://picsum.photos/seed/P00095/600/800
P00096,오버핏 데님 하이웨이스트 다운 자켓 (오프화이트),C003,아우터,C00302,패딩/다운,B003,Urban Nomad,308300,86300,222000,https://picsum.photos/seed/P00096/600/800
P00097,워셔블 폴리 드로스트링 랩 원피스 (오프화이트),C004,원피스,C00401,미니 원피스,B015,Sneaker Works,293000,120100,172900,https://picsum.photos/seed/P00097/600/800
P00098,스트레치 폴리 퀼팅 미니 원피스 (카키),C004,원피스,C00401,미니 원피스,B020,Bloom & Wear,326400,84900,241500,https://picsum.photos/seed/P00098/600/800
P00099,라이트 플리스 드로스트링 티셔츠 (버건디),C001,상의,C00101,티셔츠,B008,Mono Archive,31000,6500,24500,https://picsum.photos/seed/P00099/600/800
P00100,오버핏 트위드 와이드 립 니트 원피스 (라이트블루),C004,원피스,C00405,니트 원피스,B015,Sneaker Works,267700,40200,227500,https://picsum.photos/seed/P00100/600/800
P00101,빈티지 플리스 브이넥 플로럴 원피스 (네이비),C004,원피스,C00403,맥시 원피스,B014,Puffer Planet,182800,65800,117000,https://picsum.photos/seed/P00101/600/800
P00102,헤비웨이트 스웨이드 라운드넥 볼캡 (오프화이트),C006,가방/잡화,C00604,모자,B010,Neon Classic,56100,16800,39300,https://picsum.photos/seed/P00102/600/800
P00103,헤비웨이트 스웨이드 라운드넥 데님 자켓 (라이트블루),C003,아우터,C00303,자켓/블레이저,B004,Cloud Nine,294400,114800,179600,https://picsum.photos/seed/P00103/600/800
P00104,쿨터치 레더 플리츠 랩 원피스 (오프화이트),C004,원피스,C00401,미니 원피스,B007,Daily Grove,37000,8500,28500,https://picsum.photos/seed/P00104/600/800
P00105,프리미엄 메리노울 크롭 버튼 가디건 (오프화이트),C003,아우터,C00305,가디건,B005,Han River Studio,25000,12500,12500,https://picsum.photos/seed/P00105/600/800
P00106,에센셜 코튼 롱 태슬 로퍼 (브라운),C005,신발,C00502,로퍼,B006,Midnight Tailor,58800,14100,44700,https://picsum.photos/seed/P00106/600/800
P00107,프리미엄 메리노울 드로스트링 스웨트셔츠 (오프화이트),C001,상의,C00104,후드/스웨트,B004,Cloud Nine,379700,102500,277200,https://picsum.photos/seed/P00107/600/800
P00108,프리미엄 스웨이드 버튼업 스트라이프 원피스 (브라운),C004,원피스,C00404,셔츠 원피스,B016,Leather Route,109800,52700,57100,https://picsum.photos/seed/P00108/600/800
P00109,라이트 폴리 테이퍼드 태슬 로퍼 (오프화이트),C005,신발,C00502,로퍼,B003,Urban Nomad,150000,15000,135000,https://picsum.photos/seed/P00109/600/800
P00110,헤비웨이트 울 크롭 데님 자켓 (오프화이트),C003,아우터,C00303,자켓/블레이저,B019,Classic Yard,263800,84400,179400,https://picsum.photos/seed/P00110/600/800
P00111,프리미엄 나일론 집업 롱 가디건 (오프화이트),C003,아우터,C00305,가디건,B018,Minimal Move,135100,62100,73000,https://picsum.photos/seed/P00111/600/800
P00112,빈티지 메리노울 크롭 미디 원피스 (오프화이트),C004,원피스,C00402,미디 원피스,B014,Puffer Planet,209800,71300,138500,https://picsum.photos/seed/P00112/600/800
P00113,오버핏 스웨이드 하이웨이스트 크로스백 (카키),C006,가방/잡화,C00602,크로스백,B016,Leather Route,62500,23700,38800,https://picsum.photos/seed/P00113/600/800
P00114,워셔블 울 와이드 블라우스 (라이트블루),C001,상의,C00105,블라우스,B015,Sneaker Works,90800,12700,78100,https://picsum.photos/seed/P00114/600/800
P00115,소프트 린넨 테이퍼드 니트 롱 원피스 (라이트블루),C004,원피스,C00403,맥시 원피스,B011,Linen Lab,289700,98500,191200,https://picsum.photos/seed/P00115/600/800
P00116,쿨터치 린넨 집업 바람막이 (라이트블루),C003,아우터,C00304,점퍼/바람막이,B018,Minimal Move,368700,103200,265500,https://picsum.photos/seed/P00116/600/800
P00117,라이트 플리스 퀼팅 데님 팬츠 (오프화이트),C002,하의,C00201,청바지,B014,Puffer Planet,242500,48500,194000,https://picsum.photos/seed/P00117/600/800
P00118,빈티지 코튼 드로스트링 토트백 (카키),C006,가방/잡화,C00603,토트백,B001,Martinee Basics,206400,76400,130000,https://picsum.photos/seed/P00118/600/800
P00119,쿨터치 플리스 버튼업 테이퍼드 팬츠 (네이비),C002,하의,C00202,면바지/치노,B017,Baghaus,101700,15300,86400,https://picsum.photos/seed/P00119/600/800
P00120,프리미엄 트위드 버튼업 슬리퍼 (그레이),C005,신발,C00504,샌들/슬리퍼,B020,Bloom & Wear,251700,125900,125800,https://picsum.photos/seed/P00120/600/800
P00121,스트레치 레더 드로스트링 바람막이 (라이트블루),C003,아우터,C00304,점퍼/바람막이,B009,Weekend Society,296500,59300,237200,https://picsum.photos/seed/P00121/600/800
P00122,소프트 폴리 퀼팅 집업 후디 (베이지),C001,상의,C00104,후드/스웨트,B012,Denim District,249400,72300,177100,https://picsum.photos/seed/P00122/600/800
P00123,슬림핏 폴리 하이웨이스트 쇼츠 (카키),C002,하의,C00204,반바지,B016,Leather Route,311300,87200,224100,https://picsum.photos/seed/P00123/600/800
P00124,레귤러 코튼 하이웨이스트 미니 토트 (라이트블루),C006,가방/잡화,C00603,토트백,B001,Martinee Basics,35600,17100,18500,https://picsum.photos/seed/P00124/600/800
P00125,쿨터치 나일론 집업 버킷햇 (라이트블루),C006,가방/잡화,C00604,모자,B010,Neon Classic,109600,53700,55900,https://picsum.photos/seed/P00125/600/800
P00126,레귤러 레더 라운드넥 다운 자켓 (버건디),C003,아우터,C00302,패딩/다운,B004,Cloud Nine,201200,36200,165000,https://picsum.photos/seed/P00126/600/800
P00127,오버핏 캐시미어 버튼업 터틀넥 (오프화이트),C001,상의,C00103,니트/스웨터,B011,Linen Lab,201700,86700,115000,https://picsum.photos/seed/P00127/600/800
P00128,스트레치 레더 드로스트링 앵클 부츠 (오프화이트),C005,신발,C00503,부츠,B006,Midnight Tailor,187500,31900,155600,https://picsum.photos/seed/P00128/600/800
P00129,헤비웨이트 플리스 퀼팅 A라인 원피스 (라이트블루),C004,원피스,C00401,미니 원피스,B005,Han River Studio,218300,98200,120100,https://picsum.photos/seed/P00129/600/800
P00130,레귤러 스웨이드 브이넥 울 코트 (오프화이트),C003,아우터,C00301,코트,B013,Coat & Co.,203100,52800,150300,https://picsum.photos/seed/P00130/600/800
P00131,소프트 캐시미어 크롭 샌들 (블랙),C005,신발,C00504,샌들/슬리퍼,B012,Denim District,334700,150600,184100,https://picsum.photos/seed/P00131/600/800
P00132,소프트 레더 퀼팅 가디건 (베이지),C003,아우터,C00305,가디건,B008,Mono Archive,350300,126100,224200,https://picsum.photos/seed/P00132/600/800
P00133,레귤러 레더 브이넥 셔츠 (오프화이트),C001,상의,C00102,셔츠,B002,Seoul Atelier,133000,58500,74500,https://picsum.photos/seed/P00133/600/800
P00134,소프트 메리노울 퀼팅 나일론 쇼츠 (오프화이트),C002,하의,C00204,반바지,B015,Sneaker Works,229600,107900,121700,https://picsum.photos/seed/P00134/600/800
P00135,헤비웨이트 레더 하이웨이스트 크로스백 (브라운),C006,가방/잡화,C00602,크로스백,B014,Puffer Planet,156600,18800,137800,https://picsum.photos/seed/P00135/600/800
P00136,프리미엄 캐시미어 테이퍼드 미니 토트 (오프화이트),C006,가방/잡화,C00603,토트백,B007,Daily Grove,369400,121900,247500,https://picsum.photos/seed/P00136/600/800
P00137,레귤러 캐시미어 브이넥 롱 부츠 (오프화이트),C005,신발,C00503,부츠,B002,Seoul Atelier,58000,13300,44700,https://picsum.photos/seed/P00137/600/800
P00138,라이트 나일론 집업 지갑 (네이비),C006,가방/잡화,C00605,지갑,B001,Martinee Basics,305900,70400,235500,https://picsum.photos/seed/P00138/600/800
P00139,헤비웨이트 캐시미어 테이퍼드 퍼프 블라우스 (네이비),C001,상의,C00105,블라우스,B007,Daily Grove,322400,32200,290200,https://picsum.photos/seed/P00139/600/800
P00140,라이트 울 브이넥 경량 패딩 (라이트블루),C003,아우터,C00302,패딩/다운,B005,Han River Studio,23400,4200,19200,https://picsum.photos/seed/P00140/600/800
P00141,오프화이트 울 드로스트링 가디건 니트 (블랙),C001,상의,C00103,니트/스웨터,B008,Mono Archive,76400,27500,48900,https://picsum.photos/seed/P00141/600/800
P00142,프리미엄 나일론 롱 코트 스니커즈 (버건디),C005,신발,C00501,스니커즈,B003,Urban Nomad,67100,25500,41600,https://picsum.photos/seed/P00142/600/800
P00143,워셔블 플리스 롱 로퍼 (베이지),C005,신발,C00502,로퍼,B020,Bloom & Wear,250000,27500,222500,https://picsum.photos/seed/P00143/600/800
P00144,소프트 린넨 크롭 조거 셋업 탑 (오프화이트),C001,상의,C00104,후드/스웨트,B013,Coat & Co.,242500,33900,208600,https://picsum.photos/seed/P00144/600/800
P00145,미니멀 울 드로스트링 스웨터 (버건디),C001,상의,C00103,니트/스웨터,B020,Bloom & Wear,341800,160600,181200,https://picsum.photos/seed/P00145/600/800
P00146,프리미엄 스웨이드 하이웨이스트 앵클 부츠 (브라운),C005,신발,C00503,부츠,B013,Coat & Co.,61900,10500,51400,https://picsum.photos/seed/P00146/600/800
P00147,프리미엄 캐시미어 와이드 장지갑 (카키),C006,가방/잡화,C00605,지갑,B007,Daily Grove,247700,86700,161000,https://picsum.photos/seed/P00147/600/800
P00148,빈티지 플리스 드로스트링 플레어 원피스 (카키),C004,원피스,C00401,미니 원피스,B011,Linen Lab,89900,36000,53900,https://picsum.photos/seed/P00148/600/800
P00149,클래식 린넨 퀼팅 티셔츠 (오프화이트),C001,상의,C00101,티셔츠,B003,Urban Nomad,205300,37000,168300,https://picsum.photos/seed/P00149/600/800
P00150,소프트 린넨 와이드 하이탑 (카키),C005,신발,C00501,스니커즈,B019,Classic Yard,358700,132700,226000,https://picsum.photos/seed/P00150/600/800
